dataset id,release date from ISCGM,specification version,source data description
gmcg10,2008-05-23,,"The data is created from 'LANDSAT ETM+' image which the GLCF project of the Maryland state university offers, Vmaplevel0, and the geographic information in which acquisition at spot is possible."
gmcg20,2016-02-18,2.0,"The data is created from 'LANDSAT ETM+' image which the GLCF project of the Maryland state university offers, Vmaplevel0, and the geographic information in which acquisition at spot is possible."
gmcd10,2008-05-08,,No information
gmet10,2008-05-15,,No information
gmet20,2015-07-16,2.1,"The Global Map Ethiopia version 2 was developed based on Global Map Specifications version 2.1. The data source was Global Map ver,1 made in 2007."
gmke10,2002-09-18,,No information
gmsd10,2007-08-27,,No information
gmdz10,2007-07-20,,No information
gmdz20,2016-02-16,2.0,No information
gmtn10,2008-11-20,,"The Boundary layer data were prepared from digital map 1:200,000 and 1:50,000 of the 2004 creation. The Transportation, Drainage and Population center layer were prepared from digital map 1:200,000 and 1:1,000,000 of the 2006 creation. "
gmbw10,2003-07-12,,No information
gmbw20,2012-12-12,2.1,"The Global Map version 2 was developed from surveyed data and where the data follows the alignment of a natural feature such as waterbody, it was developed from ortho-photos of 1 meter cell resolution."
gmmg20,2016-03-14,2.2,The Global Map Madagascar version 2 Land Use layer was developed using Madagascar Land Use Map.
gmmu10,2009-01-16,,No information
gmmz10,2008-01-18,,The Global Map Mozambique version 1.0 was developed from the shapefiles Map 1:250.000 & 1:50.000 developed 1996-1999 and website of Aeroportos de Mocambique (www.aeroportos.com) 2007.
gmmz20,2013-03-21,2.1,The Global Map Mozambique version 2 was developed to update Global Map Mozambique version 1 based on Global Map Specifications version 2.1. The Global Map Mozambique version 1.0 was developed from the shapefiles Map 1:250.000 and 1:50.000 developed 1996-1999.
gmza10,2007-04-13,,"The bulk of the data was captured from the South African Provincial Map Series (2nd edition 2001), i.e. LIMPOPO 1:700 000, NOTHERN CAPE 1:1 200 000,KWAZULU - NATAL 1:700 000, WESTERN CAPE 1:800 000, EASTERN CAPE 1:800 000, MPUMALANGA 1:600 000, NORTH WEST 1:700 000, FREE STATE 1:700 000,GAUTENG 1:300 000"
gmza11,2007-03-20,,"The Global Land Cover layer of South Africa was prepared from NLC2000 land cover information and MODIS products provided by EOS Data Gateway, USGS."
gmza20,2016-02-16,2.0,"The bulk of the data, for this layer, was captured from the South African Provincial Map Series (2nd edition 2001), i.e. LIMPOPO 1:700 000, NOTHERN CAPE 1:1 200 000,KWAZULU - NATAL 1:700 000, WESTERN CAPE 1:800 000, EASTERN CAPE 1:800 000, MPUMALANGA 1:600 000, NORTH WEST 1:700 000, FREE STATE 1:700 000,GAUTENG 1:300 000"
gmsainthelena20,2013-02-15,2.1,"The Global Map St Helena Island version 2  Drainage, Transportation and Population Centres layer were developed from the 1989, 1: 10,000 Ordance Survey map at a scale of 1: 10,000. The Global Map St Helena Island version 2: Boundary layer was developed at scale of 1:25,000 on the 12/12/2005 and from the 1989, 1:10,000 Ordance Survey map at a scale of 1:25,000."
gmsz10,2004-06-23,,"The Global Map Swaziland was developed from 1:250,000 topographic map, SWAZILAND(1988)."
gmsz20,2016-02-17,2.0,"The Global Map Swaziland - Boundaries layer were developed from 1:250,000 topographic map, SWAZILAND(1988)."
gmzm20,2012-05-10,2.1,"The Global Map Zambia version 1.0 was developed using The 1:750,000  land use map series for Survey Department. "
gmzanzibar20,2013-03-21,2.1,"The data were prepared from the 1:50,000 Basic map of Zanzibar made in 1985."
gmbf10,2003-07-12,,No information
gmbf20,2013-01-11,2.1,"The Global Map Burkina Faso version 2 was developed based on Global Map Specifications version 2.1. The data source was a 1:200,000 paper map made in 1960, and after convert to digital format and update in 2000 and 2009 ."
gmci20,2016-07-21,2.0,"The Global Map Cote d'Ivore version 2 was developed based on Global Map Specifications version 2.2. The data source of Boundary, Drainage and Transportation layers were a 1:500000 map image (Topo 500 V2) made in 2012. The data source data of Population Center layer was a 1:200000 map image (BDGeo 200) made in 2005."
gmgh10,2007-03-14,,No information
gmgw10,2008-06-03,,No information
gmgw20,2013-01-17,2.1,The Global MapGuinea-Bissau version 2 was developed to update Global Map Guinea-Bissau version 1 based on Global Map Specifications version 2.1.
gmml20,2012-05-10,2.1,"The Global Map Mali version 2 was developed based on Global Map Specifications version 2.1. The data source was a 1:500,000 map image made in 1960."
gmne10,2007-11-21,,No information
gmne20,2013-02-15,2.1,The Global Map Niger version 2 was developed to update Global Map Niger version 1 based on Global Map Specifications version 2.1.
gmsn10,2008-05-21,,"The data is created from 'LANDSAT ETM+' image which the GLCF project of the Maryland state university offers, Vmaplevel0, and the geographic information in which acquisition at spot is possible."
gmsn20,2011-08-25,2.0,"the Global Map Senegal drainage version 2.0 was developed by using the Global Map Senegal version 1.0 and the International map serie at the scale 1000000 and the map scale 500 000. The Global Map Senegal version 1.0 Transportation layer was developed using The 1:1,000,000 Chart International series and The Digital Map 200000. Updating the data of version 1.0 using The 1:500,000 District Map series and 1:1,000,000 International Map series developed the Global Map Senegal version 1.1 Transportation layer. Updating the Global Map Senegal version 1.1 using 1:1,000,000 Topographic Maps developed the Global Map Senegal version 2.0 Transportation layer. 1.1: 2006-12-13, Version 2.0: 2012-07-25. The Global Map Senegal version 2.0 Boundaries layer was developed using the Digital Map 200000. The Global Map Senegal version 2.0 Population center layer was developed using  The 1:200,000 Topographic Map. The Release of Global map Senegal  Elevation layer series are as follows: Version 1.0: 2000-11-28, Version 1.1: 2006-12-13, Version 2.0: 2012-07-25"
gmtg20,2014-10-17,2.1,"The Global Map Togo version 2 was developed based on Global Map Specifications version 2.1. The data source was a 1:500,000 map image made in 1991."
gmtristandacunha10,2006-10-03,,"The Global Map Tristan da Cunhawas developed by ISCGM based on the chart 1769 'ISLANDS AND ANCHORAGES IN THE SOUTH ATLANTIC OCEAN', which published by United Kingdom Hydrographic Office in November, 1994."
gmaf20,2011-09-02,2.0,"District Level Administrative Boundaries of Afghanistan contains District Level boundaries for Afghanistan, mapped at 1:100,000 scale from the United States Defence Mapping Agency (USDMA) 1:100k topographic Maps."
gmaz10,2008-10-20,,No information
